rankdate,1,2,3,4,5,LS,cons,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1986-02,0.08678181259960335,0.07747110055394024,0.0849606939130987,0.07923265285855347,0.059119298099493844,-0.02766251450010951,0,198602,7.13,-0.71,-0.72,1.06,-1.2,0.53
1986-03,0.05694918202101682,0.07431486539487671,0.049087299833041304,0.05815823081015854,0.02356375585407167,-0.03338542616694515,0,198603,4.88,-0.66,-0.39,1.21,0.92,0.6
1986-04,-0.005911010316453594,-0.0032824817288402922,0.0010222396578084398,-0.019458440884691668,-0.01110619780372186,-0.005195187487268266,0,198604,-1.31,2.84,-2.87,2.91,0.03,0.52
1986-05,0.06325487385354256,0.06476106175715308,0.04699044987704167,0.04574165245686346,0.02438743783673257,-0.03886743601680999,0,198605,4.62,-1.29,-0.21,2.13,1.08,0.49
1986-06,0.04262543921103071,0.028664802902613747,0.008135264628042127,0.007407303565453438,-0.04462526450606592,-0.08725070371709663,0,198606,1.03,-0.89,1.28,1.8,0.87,0.52
1986-07,-0.003721384042328009,-0.06456492908181188,-0.0694177628593679,-0.06263345003279103,-0.12111462178158337,-0.11739323773925536,0,198607,-6.45,-3.46,4.7,-0.54,0.84,0.52
1986-08,0.0713128935201295,0.07120712729214902,0.07621531671241209,0.08917009282561562,0.10082873097526253,0.02951583745513303,0,198608,6.07,-4.35,3.51,-1.66,3.21,0.46
1986-09,-0.0907323351845855,-0.08327111630242845,-0.08130764928095491,-0.06023702440776251,-0.041936688608522565,0.04879564657606293,0,198609,-8.6,2.05,3.22,-0.08,3.71,0.45
1986-10,0.05837617195917401,0.052199305027986184,0.07424800291096692,0.05380214994539142,0.05961491593363979,0.0012387439744657794,0,198610,4.66,-2.33,-1.42,-0.05,1.0,0.46
1986-11,0.019558865925295765,0.02664791698635282,0.02701643473870217,0.01666607952957805,0.022596649837673517,0.003037783912377752,0,198611,1.17,-1.88,-0.07,1.09,0.67,0.39
1986-12,-0.027549218255873004,-0.02384608450992566,-0.019695345634155113,-0.024660652005244105,-0.03880859069034158,-0.011259372434468576,0,198612,-3.27,0.12,0.36,0.79,0.09,0.49
1987-01,0.13211145691767984,0.13306699913238315,0.14525523181983716,0.12364451160293304,0.16626265794632375,0.03415120102864391,0,198701,12.47,-1.54,-3.16,0.17,-1.0,0.42
1987-02,0.03300542038118801,0.05773800391689208,0.057106130561612685,0.04850691851089464,0.0665398871280009,0.03353446674681288,0,198702,4.39,3.4,-5.91,-0.76,-2.66,0.43
1987-03,0.032899416557528254,0.03889246059817191,0.02067702395655501,0.010755098607002177,0.05467609382173525,0.021776677264206998,0,198703,1.64,0.28,1.61,1.36,4.14,0.47
1987-04,-0.01944221001456132,0.002787028074565058,-0.0012085822183605743,-0.03317920301756235,0.004997919929067604,0.024440129943628923,0,198704,-2.11,-1.54,-0.39,-0.49,1.05,0.44
1987-05,0.013190508653540408,0.006831165077224173,0.002956822753948158,0.00887384340429405,0.019294029212500823,0.006103520558960416,0,198705,0.11,-0.56,0.23,0.51,1.14,0.38
1987-06,0.04642696237700099,0.050433892307042504,0.05507340218635245,0.046590311429464674,0.04031702263456461,-0.006109939742436378,0,198706,3.94,-2.21,1.04,1.7,0.84,0.48
1987-07,0.046748821627651406,0.04261704947614584,0.05086114357737749,0.04005616162475102,0.06042464659835123,0.013675824970699822,0,198707,3.85,-1.14,0.68,-0.61,1.61,0.46
1987-08,0.04344958893369162,0.05199511827477616,0.04801422735700464,0.041630809834830716,0.03527027790589563,-0.00817931102779599,0,198708,3.52,-0.94,-0.93,2.04,-1.61,0.47
1987-09,-0.01605519097253722,-0.02349351157581225,-0.014039116151465887,-0.02402394786880599,0.0009275946769728782,0.0169827856495101,0,198709,-2.59,0.38,0.27,-0.97,1.87,0.45
1987-10,-0.18828127383692578,-0.21156075391131635,-0.20589943591869295,-0.22522964293443926,-0.272437922761295,-0.08415664892436925,0,198710,-23.24,-8.07,4.24,2.04,2.34,0.6
1987-11,-0.07581689244294351,-0.0649402831045099,-0.06713991973224324,-0.07793966803310719,-0.09139409463282491,-0.0155772021898814,0,198711,-7.77,2.85,2.95,-1.88,0.68,0.35
1987-12,0.08086492419223253,0.07881257471800585,0.08283240418175164,0.09647605126658368,0.052791681978024384,-0.028073242214208143,0,198712,6.81,0.06,-4.43,2.96,-2.42,0.39
1988-01,0.043957068884037824,0.04555300037334454,0.04847209225151019,0.07611364409660502,0.12419436290623281,0.08023729402219498,0,198801,4.21,-0.51,5.01,-1.14,2.13,0.29
1988-02,0.04758505642264229,0.035957631910041025,0.07415573718840866,0.07891660043321001,0.08066833202142197,0.03308327559877968,0,198802,4.75,3.32,-1.71,1.56,-0.01,0.46
1988-03,-0.030990088512777954,-0.0268587427874889,-0.012149436417423753,-0.012575793044560407,-0.013107275441907387,0.017882813070870567,0,198803,-2.27,6.25,0.73,-0.25,1.8,0.44
1988-04,0.015971313290350737,0.015619489252803076,0.0011848179617576506,0.004966510926084326,0.01622406061039657,0.0002527473200458312,0,198804,0.56,1.16,1.67,-0.2,1.92,0.46
1988-05,-0.0032488102086985493,0.00834722026595542,0.003238049600869498,0.02310286609908073,0.04850253894566489,0.05175134915436344,0,198805,-0.29,-2.56,2.42,-0.74,0.33,0.51
1988-06,0.03900327895777448,0.06490873906356741,0.058140059791688924,0.06961462662129417,0.1018559668795608,0.06285268792178633,0,198806,4.79,2.16,-1.24,1.47,-3.37,0.49
