rankdate,BEQ1,BEQ2,BEQ3,BEA1s,BEA2s
1986-01,-0.0316710551790193,0.0199552916484081,-0.0171602065862518,0.0287764617261649,0.0553279116485922
1986-02,0.0327314049726123,-0.0239279247336934,-0.00888359565177069,0.0352911804186828,0.0580948256574439
1986-03,0.0454940472869905,-0.0150230113669341,-0.00795627919089197,0.0370590196015899,0.0525187560163028
1986-04,0.0427965277714514,-0.0167836866221096,-0.028740919874888,0.037023145386227,0.0503313489061991
1986-05,0.00987858091865389,-0.0245194724368284,-0.0263317807504767,0.0350674519489446,0.0475724212186425
1986-06,-0.00720935559741434,-0.0111899370597948,-0.0194789136340759,0.0306603076695601,0.0438782475359141
1986-07,-0.0113715645290861,-0.0445010329018487,-0.00228119003470607,0.0332118677507221,0.0491919206801703
1986-08,-0.0192970851651513,-0.0232047421967375,0.0061735014460119,0.033205452858222,0.0467813507216554
1986-09,-0.00496817193197287,-0.0188562287052301,-0.0174933987209883,0.0324467020679109,0.047084334720169
1986-10,-0.0402014248821599,-0.00923238367185444,-0.0101889937781932,0.029096956346906,0.0445591908621099
1986-11,-0.0261705538359737,0.00526270378617153,-0.0150658193511608,0.029517013926719,0.0425116439036471
1986-12,-0.0153609861721614,-0.0134560135278775,-0.0113310209579439,0.0294304860491336,0.0431426413125308
1987-01,-0.0159696317417758,-0.0135384098887925,-0.00178962436121589,0.025805082153379,0.0376961179699147
1987-02,0.0466429292644392,-0.0134860287756377,-0.00755761181075521,0.0335307174052454,0.0337244864478958
1987-03,0.0386087163718721,-0.0151591582146465,-0.0109970032298032,0.0335986131340718,0.0349817917486779
1987-04,-0.00489916872907444,-0.00483299470218202,-0.0222781037396726,0.0316169867838797,0.0367270301502791
1987-05,-0.00975779283893632,-0.0130936524839542,-0.0339190200505483,0.0309405039929812,0.0377383267592261
1987-06,-0.0171968647713113,-0.021399339413214,-0.0300697576547193,0.0253280633120498,0.0333273891825042
1987-07,-0.0128063375330184,-0.0276509836954509,-0.0230862404130023,0.0239277702505715,0.0344356284686764
1987-08,-0.00895151979017015,-0.0301821008340657,-0.00194399775655226,0.0239366573372751,0.034550404300066
1987-09,-0.0104943825100243,-0.0245454215525116,-0.0201275593585001,0.024710857749354,0.0368776542355602
1987-10,-0.0369841266796118,-0.0279296572404961,-0.027474140733756,0.0370724393958239,0.0577621610523072
1987-11,-0.050794301157227,-0.00838087363901116,-0.0358127572289758,0.0381823374633753,0.0587386908488438
1987-12,-0.0273057972166891,-0.0301383369457832,-0.0235846233925081,0.0369425076537873,0.0542967638602551
1988-01,-0.0299320044107858,-0.029378149813707,-0.0270606226244755,0.0318617140133452,0.0498484091453691
1988-02,-0.00716360105682294,-0.0242200903895496,-0.0217843561324541,0.0298702532189518,0.0588679382625942
1988-03,-0.00286560637672243,-0.01143879200957,-0.0316896650246724,0.0326631282736067,0.0557714724131906
1988-04,-0.0037934560951185,-0.0298162179176205,-0.0384645632190653,0.0323808019182026,0.0559608666125445
1988-05,-0.024999979916537,-0.0162223110726522,-0.0594842618480666,0.0304274092938457,0.0587334590404144
1988-06,-0.020576956622674,-0.0230834111968659,-0.0453755036079875,0.0295014248012811,0.0579363823759362
1988-07,-0.0278188065889113,-0.0502674945997437,-0.0400039362525864,0.0269069046688498,0.0589032323287344
1988-08,-0.0343115059962617,-0.0535505725177508,-0.0161382716885507,0.0276735581745496,0.0598231678270769
1988-09,-0.0353643156835393,-0.0464043544502166,-0.0170108468748235,0.0292823859906127,0.0588249864484063
1988-10,-0.0560252389937474,-0.0396457222723367,-0.0375673695712519,0.0291431956919173,0.0594955873836538
1988-11,-0.0514321796470628,-0.0228092210835506,-0.0267674194405913,0.0308271832798827,0.0630422344872106
1988-12,-0.0465482843521244,-0.0329293354488378,-0.0179718125843558,0.0298548905445302,0.0647369933112972
1989-01,-0.0428213714945812,-0.0290076045906455,-0.0163472505699888,0.0284159533949327,0.0604723810647514
1989-02,-0.0203931201875726,-0.0258042970280271,-0.0202252567889682,0.0358582184150272,0.0691928203383227
1989-03,-0.0085067410564636,-0.0199894207731954,-0.0342132859662269,0.0404004176750269,0.0719572429124268
1989-04,-0.015512346532928,-0.0142766435693653,-0.0324383646896192,0.0417749139987014,0.0695495988876487
1989-05,-0.0119775189000951,-0.0116672162298899,-0.0322768901795128,0.0424622194692901,0.0689263841332856
1989-06,-0.00182579452418433,-0.0315929194535735,-0.0231269252805168,0.0413566260965179,0.0722758998985527
1989-07,-0.0167364676531652,-0.034777009507385,-0.017297413174866,0.0382649043048692,0.070473267795505
1989-08,-0.00672610497206775,-0.0326062833344667,0.00153790518297069,0.0420391868124325,0.0676852024967946
1989-09,-0.0128350417455774,-0.0253933712341246,0.00342676182760396,0.0424359843054547,0.0702444583756653
1989-10,-0.0447803811186577,-0.018895192717395,0.0105503919631336,0.0434350143220048,0.0745369101648698
1989-11,-0.0355987409223666,-0.00148358422076216,-0.00208759084321284,0.0435872052692526,0.0787973419855722
1989-12,-0.0262949300307796,0.00299430767038259,0.00445214614503407,0.0410417116350921,0.0807273859954541
1990-01,-0.0288479729751983,0.0290074716534782,-0.0183171986690058,0.0449712989817265,0.0864934653653224
1990-02,0.00699972489124488,-0.00360350333731735,-0.0137436226348483,0.0674994558835266,0.0831399264911915
1990-03,0.0442808243457708,-0.0170602972551285,-0.0114282883128236,0.066671250001721,0.0754501269475223
1990-04,0.000458841813179064,-0.0239875241472973,-0.0230884688756235,0.0686738253122045,0.0748747772393679
