rankdate,BEQ1,BEQ2,BEQ3,BEA1s,BEA2s
1986-01,-0.0322925123967186,0.0157905213239123,-0.00470684098844953,0.0379593017191898,0.0573301004080417
1986-02,0.0247010875912927,-0.0165324688895183,-0.0128750665181788,0.0371928140536809,0.0606220767399291
1986-03,0.0413143239481324,-0.0165360857948699,-0.0104663229885509,0.0360222257407338,0.0577255863454628
1986-04,0.0381330851183828,-0.0111115753932421,-0.029389903666557,0.0365113572481022,0.0556322139451943
1986-05,0.00537555092506859,-0.0184653335125952,-0.0260202207383253,0.0358638210867261,0.0550823164592707
1986-06,-0.00299401142115875,-0.0110023037475749,-0.0225342422601943,0.0370276657360768,0.0546615974060108
1986-07,0.00380948922021952,-0.0336643825664878,-0.00703290736535765,0.0426917583422299,0.0617670465132767
1986-08,-0.00730063413220096,-0.0255501680328192,0.0192085288490238,0.0414669196412045,0.0575166424591605
1986-09,0.00735309914387462,-0.0231002177204063,0.00524445116809186,0.0413339212763222,0.0603241754920701
1986-10,-0.0255691575488193,-0.0102165156812667,-0.00730461978622456,0.0383448087310357,0.0557065471617793
1986-11,-0.0208087786456847,0.0217578036467367,-0.0120233896588732,0.0388977760687229,0.0550866620301281
1986-12,-0.0149013633340764,0.00406244469023908,-0.00797130410949213,0.0399258207832691,0.0550081552703887
1987-01,-0.0178871023610323,-0.00875943887090542,-0.00292610612201606,0.0338087606093973,0.0478056403588643
1987-02,0.0374332756766042,-0.0135117990743428,-0.0127009198227151,0.0327343197345526,0.0501709223392951
1987-03,0.0216474569187889,-0.0131730612667994,0.00361345474006865,0.0327675629429905,0.0489785743955827
1987-04,-0.00723225698055701,-0.00799166226540837,-0.0188958400194473,0.033980358210027,0.0484620530102259
1987-05,-0.0158063462439833,-0.00975897805225487,-0.0244469987882402,0.0330981103567537,0.0505721482470534
1987-06,-0.0197623080719282,-0.00631119735211447,-0.0231983731081559,0.0296654557217456,0.0453594020354057
1987-07,-0.0113712440917687,-0.0292650136717655,-0.0234415183395354,0.0267461942023593,0.0428707933648455
1987-08,-0.0066253218613234,-0.0295352292751802,-0.0102338101787243,0.0257149634432654,0.042059233146399
1987-09,-0.000534271316105521,-0.0279096525609057,-0.0203042490871652,0.0282588843982408,0.0439414349659303
1987-10,-0.0232664633314906,-0.0209612392830485,-0.00903812008334634,0.0507431232624378,0.0714106964725211
1987-11,-0.04100548585943,-0.00903722751731936,-0.00990701714229207,0.0522672833484544,0.0737065749460698
1987-12,-0.0258464600893855,-0.0199574883817076,-0.00955477175141872,0.0475392201681565,0.0650712325491438
1988-01,-0.0284192627418043,-0.0181427623301891,-0.0106255553292859,0.0395273230894398,0.0572998185173782
1988-02,0.00335566701691225,-0.0183062237220703,-0.0124700350269867,0.0381350373017079,0.0531833185577211
1988-03,-0.0044293643970641,-0.0138631406945401,-0.010512930065939,0.0377467506076869,0.0499216225223023
1988-04,-0.015686144212104,-0.0238323835135199,-0.0250995426530496,0.0342214232428443,0.0490414136614449
1988-05,-0.0259435769757259,-0.0170876962066278,-0.034752996266302,0.0334199081844778,0.0517732067799496
1988-06,-0.0242012030878184,-0.01693777256713,-0.0363786041067714,0.0309533897457896,0.0501225353738939
1988-07,-0.0278550695919256,-0.0340611978209679,-0.0354153084632226,0.0292854577487752,0.0527352976296189
1988-08,-0.0244371504447075,-0.0376660072442338,-0.0134340112683182,0.0300418627317014,0.0547795932532692
1988-09,-0.028733439619098,-0.0394663239806674,-0.0339888854834988,0.0292021059806897,0.0530392743093405
1988-10,-0.0464363254348435,-0.0345065490768952,-0.0361204462698754,0.0295142831617656,0.0542223213284181
1988-11,-0.0440467158213398,-0.0152032415717647,-0.0443979804334345,0.0311864467988618,0.0581809066201639
1988-12,-0.0446435784702416,-0.0254120760046214,-0.0444483914307754,0.0293446769833075,0.0546875241018153
1989-01,-0.0439445569968822,-0.0331828445681893,-0.0379216443118125,0.0274967549863929,0.0504815938320489
1989-02,-0.0219956948898338,-0.03947050276218,-0.0337209555546836,0.0287411597687762,0.0547403265322091
1989-03,-0.0169868315590742,-0.0366171302225626,-0.0429753000786208,0.0281372747219285,0.0576948314416701
1989-04,-0.0193672776323475,-0.0320406403828607,-0.0544564219265992,0.0278258250956262,0.0540953967011072
1989-05,-0.0225588316294948,-0.0285882790799166,-0.0506804225652542,0.0310695607688738,0.0547289319397375
1989-06,-0.00843125907909213,-0.0405232237019392,-0.0435813659832505,0.0336208654946472,0.0586509288907114
1989-07,-0.0240323272884448,-0.0502412524930274,-0.0306975889119959,0.0320874845857867,0.0565621697979942
1989-08,-0.0180847343379842,-0.0477595143467302,-0.00475068834394045,0.0341002017142077,0.0556024459715196
1989-09,-0.028437327088873,-0.0429089075808203,-0.0105546956620598,0.0354835535005404,0.0587477840993254
1989-10,-0.053900359355445,-0.0303151762891151,-0.00373790910686085,0.0410860933727487,0.0649063468438895
1989-11,-0.047267267560494,-0.00386076949355423,-0.0131980870393007,0.0451473537768066,0.0677262447455678
1989-12,-0.0440199960729474,0.000409372530755728,-0.00140213057193092,0.0458206200508382,0.0699689655348777
1990-01,-0.0375748008791212,0.0148405955167432,-0.00171904806891496,0.0547388302262521,0.0802491671986854
1990-02,-0.00629126058899708,-0.00394525498957024,-0.00485249002965461,0.0584094334029646,0.0844443493600729
1990-03,0.0298037144961137,-0.0144440587619682,-0.00867798102367324,0.059247310672659,0.0861021296900596
1990-04,0.000626957322723708,-0.0160236083985611,-0.018884635357224,0.0642699996310015,0.0916815209450385
